"","ime","leto","stevilo","spol"
"9586","Svetomir",2010,14,"moski"
"9587","Svetozar",2010,93,"moski"
"9588","Svit",2010,340,"moski"
"9589","Svitan",2010,8,"moski"
"9590","Svobodan",2010,6,"moski"
"9591","Syle",2010,5,"moski"
"9592","Sylejman",2010,24,"moski"
"9593","Sandor",2010,7,"moski"
"9594","Saban",2010,173,"moski"
"9595","Sahbaz",2010,26,"moski"
"9596","Sahim",2010,7,"moski"
"9597","Saip",2010,7,"moski"
"9598","Sandor",2010,15,"moski"
"9599","Sani",2010,8,"moski"
"9600","Sacir",2010,26,"moski"
"9601","Sefik",2010,239,"moski"
"9602","Sefket",2010,22,"moski"
"9603","Sefkija",2010,27,"moski"
"9604","Sefko",2010,20,"moski"
"9605","Sehrizad",2010,9,"moski"
"9606","Sehzad",2010,5,"moski"
"9607","Sekib",2010,6,"moski"
"9608","Semsi",2010,5,"moski"
"9609","Semso",2010,79,"moski"
"9610","Semsudin",2010,85,"moski"
"9611","Serif",2010,149,"moski"
"9612","Seval",2010,34,"moski"
"9613","Sevalija",2010,6,"moski"
"9614","Sevket",2010,11,"moski"
"9615","Sevkija",2010,7,"moski"
"9616","Sevko",2010,15,"moski"
"9617","Sime",2010,38,"moski"
"9618","Simen",2010,23,"moski"
"9619","Simo",2010,23,"moski"
"9620","Simun",2010,20,"moski"
"9621","Spejtim",2010,7,"moski"
"9622","Spend",2010,5,"moski"
"9623","Spendi",2010,5,"moski"
"9624","Spiro",2010,6,"moski"
"9625","Stef",2010,5,"moski"
"9626","Stefan",2010,6030,"moski"
"9627","Stefek",2010,5,"moski"
"9628","Stefko",2010,21,"moski"
"9629","Stefo",2010,6,"moski"
"9630","Sukri",2010,6,"moski"
"9631","Sukrija",2010,23,"moski"
"9632","Suco",2010,6,"moski"
"9633","Tadej",2010,4960,"moski"
"9634","Tadija",2010,23,"moski"
"9635","Tafil",2010,15,"moski"
"9636","Tahir",2010,60,"moski"
"9637","Tai",2010,280,"moski"
"9638","Taib",2010,18,"moski"
"9639","Taid",2010,9,"moski"
"9640","Taik",2010,7,"moski"
"9641","Taip",2010,6,"moski"
"9642","Tair",2010,5,"moski"
"9643","Taj",2010,254,"moski"
"9644","Tajib",2010,13,"moski"
"9645","Tamas",2010,5,"moski"
"9646","Tan",2010,13,"moski"
"9647","Tanai",2010,5,"moski"
"9648","Tanaj",2010,7,"moski"
"9649","Tanej",2010,15,"moski"
"9650","Taras",2010,40,"moski"
"9651","Tarik",2010,197,"moski"
"9652","Tasim",2010,15,"moski"
"9653","Tas",2010,5,"moski"
"9654","Tatomir",2010,8,"moski"
"9655","Taulant",2010,15,"moski"
"9656","Tay",2010,10,"moski"
"9657","Tedej",2010,11,"moski"
"9658","Tedi",2010,5,"moski"
"9659","Tedo",2010,8,"moski"
"9660","Tefik",2010,14,"moski"
"9661","Tehvid",2010,19,"moski"
"9662","Tej",2010,40,"moski"
"9663","Tejo",2010,20,"moski"
"9664","Tenej",2010,11,"moski"
"9665","Teo",2010,522,"moski"
"9666","Teodor",2010,370,"moski"
"9667","Teofil",2010,5,"moski"
"9668","Teso",2010,6,"moski"
"9669","Teufik",2010,39,"moski"
"9670","Tevz",2010,220,"moski"
"9671","Theo",2010,12,"moski"
"9672","Theodor",2010,10,"moski"
"9673","Thomas",2010,127,"moski"
"9674","Thor",2010,5,"moski"
"9675","Tian",2010,408,"moski"
"9676","Tiberij",2010,7,"moski"
"9677","Tibor",2010,383,"moski"
"9678","Tien",2010,6,"moski"
"9679","Tihomil",2010,6,"moski"
"9680","Tihomir",2010,184,"moski"
"9681","Tijan",2010,119,"moski"
"9682","Til",2010,47,"moski"
"9683","Tilen",2010,3298,"moski"
"9684","Tim",2010,2111,"moski"
"9685","Timej",2010,24,"moski"
"9686","Timen",2010,8,"moski"
"9687","Timi",2010,174,"moski"
"9688","Timijan",2010,6,"moski"
"9689","Timmy",2010,8,"moski"
"9690","Timo",2010,31,"moski"
"9691","Timon",2010,187,"moski"
"9692","Timotei",2010,11,"moski"
"9693","Timotej",2010,1574,"moski"
"9694","Timotej Tim",2010,5,"moski"
"9695","Timothy",2010,8,"moski"
"9696","Timy",2010,5,"moski"
"9697","Tin",2010,223,"moski"
"9698","Tine",2010,1154,"moski"
"9699","Tinej",2010,29,"moski"
"9700","Tino",2010,29,"moski"
"9701","Tio",2010,9,"moski"
"9702","Tit",2010,160,"moski"
"9703","Tito",2010,7,"moski"
"9704","Tjan",2010,116,"moski"
"9705","Tjas",2010,194,"moski"
"9706","Tjaz",2010,144,"moski"
"9707","Tjus",2010,9,"moski"
"9708","Tobi",2010,15,"moski"
"9709","Tobia",2010,7,"moski"
"9710","Tobias",2010,50,"moski"
"9711","Tobija",2010,73,"moski"
"9712","Tobijas",2010,5,"moski"
"9713","Tode",2010,13,"moski"
"9714","Todor",2010,64,"moski"
"9715","Tofik",2010,7,"moski"
"9716","Tolja",2010,6,"moski"
"9717","Tom",2010,241,"moski"
"9718","Toma",2010,30,"moski"
"9719","Tomas",2010,165,"moski"
"9720","Tomaz",2010,11488,"moski"
"9721","Tomaz Andrej",2010,5,"moski"
"9722","Tomaz Janez",2010,8,"moski"
"9723","Tome",2010,19,"moski"
"9724","Tomi",2010,527,"moski"
"9725","Tomica",2010,30,"moski"
"9726","Tomislav",2010,1509,"moski"
"9727","Tommy",2010,9,"moski"
"9728","Tomo",2010,538,"moski"
"9729","Tomy",2010,10,"moski"
"9730","Toncek",2010,223,"moski"
"9731","Tonci",2010,15,"moski"
"9732","Tone",2010,505,"moski"
"9733","Toni",2010,496,"moski"
"9734","Tonko",2010,6,"moski"
"9735","Tony",2010,16,"moski"
"9736","Toplica",2010,7,"moski"
"9737","Toshe",2010,8,"moski"
"9738","Tosja",2010,11,"moski"
"9739","Tose",2010,6,"moski"
"9740","Toso",2010,11,"moski"
"9741","Trajan",2010,10,"moski"
"9742","Trajche",2010,9,"moski"
"9743","Trajce",2010,21,"moski"
"9744","Trajco",2010,11,"moski"
"9745","Trajko",2010,14,"moski"
"9746","Tristan",2010,195,"moski"
"9747","Trivo",2010,28,"moski"
"9748","Trivun",2010,12,"moski"
"9749","Trojan",2010,5,"moski"
"9750","Tufik",2010,10,"moski"
"9751","Tugo",2010,5,"moski"
"9752","Tugomer",2010,5,"moski"
"9753","Tugomir",2010,31,"moski"
"9754","Tunjo",2010,8,"moski"
"9755","Udo",2010,5,"moski"
"9756","Ugljesa",2010,5,"moski"
"9757","Ugo",2010,19,"moski"
"9758","Ujup",2010,5,"moski"
"9759","Uka",2010,5,"moski"
"9760","Uke",2010,6,"moski"
"9761","Umbert",2010,13,"moski"
"9762","Umberto",2010,6,"moski"
"9763","Uran",2010,5,"moski"
"9764","Urban",2010,2570,"moski"
"9765","Urh",2010,473,"moski"
"9766","Urim",2010,29,"moski"
"9767","Uros",2010,7010,"moski"
"9768","Uzeir",2010,11,"moski"
"9769","Uzejir",2010,7,"moski"
"9770","Uzejr",2010,7,"moski"
"9771","Vaclav",2010,12,"moski"
"9772","Vadim",2010,10,"moski"
"9773","Vahdet",2010,11,"moski"
"9774","Vahid",2010,128,"moski"
"9775","Vahidin",2010,32,"moski"
"9776","Vait",2010,5,"moski"
"9777","Vajo",2010,5,"moski"
"9778","Val",2010,374,"moski"
"9779","Valdemar",2010,5,"moski"
"9780","Valdet",2010,25,"moski"
"9781","Valdi",2010,31,"moski"
"9782","Valdrin",2010,6,"moski"
"9783","Valent",2010,50,"moski"
"9784","Valentin",2010,1453,"moski"
"9785","Valentin Zdravko",2010,33,"moski"
"9786","Valentino",2010,56,"moski"
"9787","Valerij",2010,49,"moski"
"9788","Valerijan",2010,21,"moski"
"9789","Valerio",2010,6,"moski"
"9790","Vall",2010,12,"moski"
"9791","Valmir",2010,26,"moski"
"9792","Valon",2010,88,"moski"
"9793","Valter",2010,1005,"moski"
"9794","Valton",2010,9,"moski"
"9795","Van",2010,20,"moski"
"9796","Vancho",2010,16,"moski"
"9797","Vance",2010,5,"moski"
"9798","Vanco",2010,52,"moski"
"9799","Vane",2010,37,"moski"
"9800","Vanek",2010,7,"moski"
"9801","Vanes",2010,7,"moski"
"9802","Vanja",2010,189,"moski"
"9803","Vanjo",2010,19,"moski"
"9804","Vase",2010,21,"moski"
"9805","Vasil",2010,30,"moski"
"9806","Vasile",2010,5,"moski"
"9807","Vasilij",2010,122,"moski"
"9808","Vasilija",2010,12,"moski"
"9809","Vasilije",2010,50,"moski"
"9810","Vasilj",2010,9,"moski"
"9811","Vasja",2010,582,"moski"
"9812","Vasjan",2010,13,"moski"
"9813","Vasko",2010,38,"moski"
"9814","Vaskrsija",2010,25,"moski"
"9815","Vaso",2010,70,"moski"
"9816","Vasyl",2010,29,"moski"
"9817","Vatroslav",2010,6,"moski"
"9818","Vebi",2010,13,"moski"
"9819","Vebija",2010,8,"moski"
"9820","Vedad",2010,11,"moski"
"9821","Vedat",2010,14,"moski"
"9822","Vedran",2010,120,"moski"
"9823","Vehab",2010,8,"moski"
"9824","Vehbi",2010,18,"moski"
"9825","Vehbija",2010,23,"moski"
"9826","Vehid",2010,63,"moski"
"9827","Vejsel",2010,5,"moski"
"9828","Vejsil",2010,13,"moski"
"9829","Vekoslav",2010,255,"moski"
"9830","Velaga",2010,7,"moski"
"9831","Veldin",2010,6,"moski"
"9832","Velemir",2010,34,"moski"
"9833","Veli",2010,20,"moski"
"9834","Velibor",2010,94,"moski"
"9835","Velicko",2010,6,"moski"
"9836","Velid",2010,45,"moski"
"9837","Velija",2010,9,"moski"
"9838","Velimir",2010,198,"moski"
"9839","Velisa",2010,6,"moski"
"9840","Velizar",2010,6,"moski"
"9841","Veljko",2010,215,"moski"
"9842","Velko",2010,24,"moski"
"9843","Ven",2010,6,"moski"
"9844","Vencel",2010,16,"moski"
"9845","Vencelj",2010,18,"moski"
"9846","Venceslav",2010,189,"moski"
"9847","Vencl",2010,5,"moski"
"9848","Venco",2010,14,"moski"
"9849","Venceslav",2010,390,"moski"
"9850","Vendel",2010,31,"moski"
"9851","Venko",2010,8,"moski"
"9852","Veno",2010,29,"moski"
"9853","Verner",2010,21,"moski"
"9854","Vernes",2010,25,"moski"
"9855","Veroljub",2010,9,"moski"
"9856","Veron",2010,6,"moski"
"9857","Vesel",2010,23,"moski"
"9858","Veselin",2010,47,"moski"
"9859","Veseljko",2010,35,"moski"
"9860","Veselko",2010,43,"moski"
"9861","Vesko",2010,8,"moski"
"9862","Veso",2010,6,"moski"
"9863","Veton",2010,23,"moski"
"9864","Vicko",2010,8,"moski"
"9865","Victor",2010,16,"moski"
"9866","Vid",2010,2377,"moski"
"9867","Vidak",2010,7,"moski"
"9868","Vidan",2010,7,"moski"
"9869","Vide",2010,11,"moski"
"9870","Vidko",2010,29,"moski"
"9871","Vido",2010,79,"moski"
"9872","Vidoje",2010,16,"moski"
"9873","Vidomir",2010,9,"moski"
"9874","Vidosav",2010,16,"moski"
"9875","Vidoslav",2010,8,"moski"
"9876","Vik",2010,7,"moski"
"9877","Viki",2010,33,"moski"
"9878","Viko",2010,12,"moski"
"9879","Viktor",2010,3166,"moski"
"9880","Viktorin",2010,7,"moski"
"9881","Vildan",2010,10,"moski"
"9882","Vilhelm",2010,15,"moski"
"9883","Vili",2010,569,"moski"
"9884","Viliam",2010,6,"moski"
"9885","Vilibald",2010,169,"moski"
"9886","Vilijam",2010,7,"moski"
"9887","Vilijan",2010,6,"moski"
"9888","Vilijem",2010,42,"moski"
"9889","Vilim",2010,43,"moski"
"9890","Viljam",2010,9,"moski"
"9891","Viljan",2010,29,"moski"
"9892","Viljem",2010,1716,"moski"
"9893","Vilko",2010,399,"moski"
"9894","Vincenc",2010,1644,"moski"
"9895","Vincenc Jozef",2010,5,"moski"
"9896","Vincencij",2010,477,"moski"
"9897","Vincent",2010,9,"moski"
"9898","Vinko",2010,3293,"moski"
"9899","Vinko Marjan",2010,5,"moski"
"9900","Virgil",2010,6,"moski"
"9901","Virgilij",2010,24,"moski"
"9902","Visar",2010,45,"moski"
"9903","Vit",2010,19,"moski"
"9904","Vital",2010,52,"moski"
"9905","Vitaliy",2010,7,"moski"
"9906","Vitan",2010,53,"moski"
"9907","Vitja",2010,42,"moski"
"9908","Vitjan",2010,28,"moski"
"9909","Vitko",2010,57,"moski"
"9910","Vito",2010,593,"moski"
"9911","Vitodrag",2010,17,"moski"
"9912","Vitomil",2010,11,"moski"
"9913","Vitomir",2010,297,"moski"
"9914","Vitoslav",2010,19,"moski"
"9915","Vittorio",2010,7,"moski"
"9916","Vjekoslav",2010,191,"moski"
"9917","Vlada",2010,11,"moski"
"9918","Vladan",2010,75,"moski"
"9919","Vlade",2010,32,"moski"
"9920","Vladica",2010,15,"moski"
"9921","Vladimir",2010,4938,"moski"
"9922","Vladimir Anton",2010,5,"moski"
"9923","Vladimir Jozef",2010,5,"moski"
"9924","Vladisav",2010,5,"moski"
"9925","Vladislav",2010,307,"moski"
"9926","Vladko",2010,147,"moski"
"9927","Vlado",2010,1315,"moski"
"9928","Vlajko",2010,18,"moski"
"9929","Vlastimir",2010,42,"moski"
"9930","Vlasto",2010,13,"moski"
"9931","Vlatko",2010,62,"moski"
"9932","Vllaznim",2010,8,"moski"
"9933","Voislav",2010,10,"moski"
"9934","Voja",2010,9,"moski"
"9935","Vojan",2010,8,"moski"
"9936","Vojco",2010,7,"moski"
"9937","Vojeslav",2010,8,"moski"
"9938","Vojimir",2010,5,"moski"
"9939","Vojin",2010,56,"moski"
"9940","Vojislav",2010,189,"moski"
"9941","Vojkan",2010,14,"moski"
"9942","Vojko",2010,2045,"moski"
"9943","Vojmir",2010,60,"moski"
"9944","Vojo",2010,44,"moski"
"9945","Vojteh",2010,85,"moski"
"9946","Volodymyr",2010,20,"moski"
"9947","Voranc",2010,46,"moski"
"9948","Vujadin",2010,29,"moski"
"9949","Vujica",2010,5,"moski"
"9950","Vujo",2010,10,"moski"
"9951","Vuk",2010,23,"moski"
"9952","Vukadin",2010,12,"moski"
"9953","Vukan",2010,5,"moski"
"9954","Vukasin",2010,52,"moski"
"9955","Vukoje",2010,5,"moski"
"9956","Vukomir",2010,5,"moski"
"9957","Vukosav",2010,10,"moski"
"9958","Vulnet",2010,6,"moski"
"9959","Zafir",2010,6,"moski"
"9960","Zahid",2010,86,"moski"
"9961","Zahir",2010,26,"moski"
"9962","Zaim",2010,85,"moski"
"9963","Zajim",2010,39,"moski"
"9964","Zak",2010,7,"moski"
"9965","Zakir",2010,13,"moski"
"9966","Zal",2010,24,"moski"
"9967","Zan",2010,5,"moski"
"9968","Zarif",2010,34,"moski"
"9969","Zarije",2010,5,"moski"
"9970","Zarjo",2010,5,"moski"
"9971","Zavisa",2010,5,"moski"
"9972","Zdenko",2010,1267,"moski"
"9973","Zdravko",2010,2703,"moski"
"9974","Zdravko Valentin",2010,13,"moski"
"9975","Zedin",2010,5,"moski"
"9976","Zehrudin",2010,41,"moski"
"9977","Zejnil",2010,8,"moski"
"9978","Zejnula",2010,5,"moski"
"9979","Zekerija",2010,8,"moski"
"9980","Zekerijah",2010,7,"moski"
"9981","Zekir",2010,13,"moski"
"9982","Zekirija",2010,5,"moski"
"9983","Zemir",2010,31,"moski"
"9984","Zemri",2010,9,"moski"
"9985","Zenel",2010,22,"moski"
"9986","Zeni",2010,6,"moski"
"9987","Zeno",2010,7,"moski"
"9988","Zenun",2010,7,"moski"
"9989","Zecir",2010,10,"moski"
"9990","Zeqir",2010,27,"moski"
"9991","Zhivko",2010,14,"moski"
"9992","Zihnija",2010,8,"moski"
"9993","Zija",2010,5,"moski"
"9994","Zijad",2010,246,"moski"
"9995","Zijo",2010,6,"moski"
"9996","Zikret",2010,43,"moski"
"9997","Zikrija",2010,18,"moski"
"9998","Zilhad",2010,15,"moski"
"9999","Zinaid",2010,7,"moski"
"10000","Zinet",2010,6,"moski"
"10001","Zirhad",2010,6,"moski"
"10002","Zlatan",2010,139,"moski"
"10003","Zlate",2010,8,"moski"
"10004","Zlatibor",2010,9,"moski"
"10005","Zlatko",2010,2461,"moski"
"10006","Zlato",2010,26,"moski"
"10007","Zlatomir",2010,18,"moski"
"10008","Zmago",2010,294,"moski"
"10009","Zmagomir",2010,10,"moski"
"10010","Zmagoslav",2010,153,"moski"
"10011","Zoltan",2010,127,"moski"
"10012","Zoran",2010,3877,"moski"
"10013","Zorancho",2010,5,"moski"
"10014","Zoranco",2010,14,"moski"
"10015","Zore",2010,6,"moski"
"10016","Zorislav",2010,15,"moski"
"10017","Zorko",2010,121,"moski"
"10018","Zoro",2010,10,"moski"
"10019","Zsolt",2010,8,"moski"
"10020","Zuhdija",2010,191,"moski"
"10021","Zulfo",2010,6,"moski"
"10022","Zumret",2010,5,"moski"
"10023","Zvezdan",2010,107,"moski"
"10024","Zvjezdan",2010,5,"moski"
"10025","Zvone",2010,111,"moski"
"10026","Zvonimir",2010,632,"moski"
"10027","Zvonimir Anton",2010,7,"moski"
"10028","Zvonko",2010,2733,"moski"
"10029","Zvonko Anton",2010,7,"moski"
"10030","Zymer",2010,14,"moski"
"10031","Zak",2010,274,"moski"
"10032","Zan",2010,5072,"moski"
"10033","Zan Jan",2010,6,"moski"
"10034","Zan Luka",2010,98,"moski"
"10035","Zan Mark",2010,18,"moski"
"10036","Zan Zak",2010,9,"moski"
"10037","Zane",2010,26,"moski"
"10038","Zanej",2010,5,"moski"
"10039","Zani",2010,19,"moski"
"10040","Zare",2010,8,"moski"
"10041","Zarko",2010,650,"moski"
"10042","Zaro",2010,6,"moski"
"10043","Zelimir",2010,66,"moski"
"10044","Zeljan",2010,6,"moski"
"10045","Zeljko",2010,1821,"moski"
"10046","Zeljomir",2010,5,"moski"
"10047","Zelko",2010,23,"moski"
"10048","Ziga",2010,6158,"moski"
"10049","Zika",2010,13,"moski"
"10050","Ziko",2010,12,"moski"
"10051","Zivadin",2010,13,"moski"
"10052","Zivan",2010,47,"moski"
"10053","Zivko",2010,335,"moski"
"10054","Zivojin",2010,88,"moski"
"10055","Zivorad",2010,66,"moski"
"10056","Zivota",2010,17,"moski"
"10057","Walter",2010,45,"moski"
"10058","Camil",2010,61,"moski"
"10059","Qamil",2010,22,"moski"
"10060","Dani",2010,26,"moski"
"10061","Yannick",2010,5,"moski"
"10062","Yaroslav",2010,6,"moski"
"10063","Cazim",2010,91,"moski"
"10064","Qazim",2010,22,"moski"
"10065","Wei",2010,5,"moski"
"10066","Qemajl",2010,9,"moski"
"10067","Cemal",2010,5,"moski"
"10068","Demal",2010,24,"moski"
"10069","Qemal",2010,5,"moski"
"10070","Demil",2010,5,"moski"
"10071","Qendrim",2010,22,"moski"
"10072","Cerim",2010,11,"moski"
"10073","Qerim",2010,17,"moski"
"10074","Werner",2010,20,"moski"
"10075","Derd",2010,6,"moski"
"10076","Devad",2010,42,"moski"
"10077","Xhafer",2010,19,"moski"
"10078","Xhavit",2010,43,"moski"
"10079","Xheladin",2010,11,"moski"
"10080","Xhelal",2010,21,"moski"
"10081","Xhelil",2010,8,"moski"
"10082","Xhemail",2010,7,"moski"
"10083","Xhemajl",2010,24,"moski"
"10084","Xhemajli",2010,6,"moski"
"10085","Xhemal",2010,5,"moski"
"10086","Xheme",2010,5,"moski"
"10087","Xhevat",2010,32,"moski"
"10088","Xhevdet",2010,30,"moski"
"10089","Xhevxhet",2010,6,"moski"
"10090","Xiaowei",2010,6,"moski"
"10091","William",2010,9,"moski"
"10092","Dino",2010,16,"moski"
"10093","Ylber",2010,16,"moski"
"10094","Doko",2010,22,"moski"
"10095","Wolfgang",2010,13,"moski"
"10096","Doni",2010,9,"moski"
"10097","Dorda",2010,7,"moski"
"10098","Dorde",2010,159,"moski"
"10099","Dordi",2010,7,"moski"
"10100","Dordija",2010,9,"moski"
"10101","Dordije",2010,6,"moski"
"10102","Dordo",2010,72,"moski"
"10103","Arpad",2010,8,"moski"
"10104","Dulaga",2010,27,"moski"
"10105","Dura",2010,7,"moski"
"10106","Durad",2010,26,"moski"
"10107","Durica",2010,8,"moski"
"10108","Yuriy",2010,10,"moski"
"10109","Duro",2010,203,"moski"
"10110","Yury",2010,5,"moski"
"10111","Aaron",2011,18,"moski"
"10112","Abaz",2011,31,"moski"
"10113","Abdija",2011,18,"moski"
"10114","Abdo",2011,6,"moski"
"10115","Abdula",2011,12,"moski"
"10116","Abdulah",2011,77,"moski"
"10117","Abdullah",2011,6,"moski"
"10118","Abdurahman",2011,12,"moski"
"10119","Abdurrahman",2011,5,"moski"
"10120","Abedin",2011,31,"moski"
"10121","Abel",2011,14,"moski"
"10122","Abid",2011,37,"moski"
"10123","Abidin",2011,7,"moski"
"10124","Aca",2011,13,"moski"
"10125","Ace",2011,8,"moski"
"10126","Aco",2011,64,"moski"
"10127","Adalbert",2011,38,"moski"
"10128","Adam",2011,426,"moski"
"10129","Adan",2011,5,"moski"
"10130","Adel",2011,90,"moski"
"10131","Adem",2011,300,"moski"
"10132","Ademir",2011,11,"moski"
"10133","Adi",2011,91,"moski"
"10134","Adian",2011,8,"moski"
"10135","Adijan",2011,9,"moski"
"10136","Adil",2011,111,"moski"
"10137","Adin",2011,84,"moski"
"10138","Adis",2011,386,"moski"
"10139","Admin",2011,7,"moski"
"10140","Admir",2011,488,"moski"
"10141","Adnan",2011,509,"moski"
"10142","Adnel",2011,5,"moski"
"10143","Adnen",2011,12,"moski"
"10144","Ado",2011,26,"moski"
"10145","Adolf",2011,933,"moski"
"10146","Adonis",2011,8,"moski"
"10147","Adrian",2011,195,"moski"
"10148","Adriano",2011,49,"moski"
"10149","Adrijan",2011,230,"moski"
"10150","Adrijano",2011,42,"moski"
"10151","Advan",2011,7,"moski"
"10152","Afet",2011,6,"moski"
"10153","Afrim",2011,101,"moski"
"10154","Agan",2011,53,"moski"
"10155","Agim",2011,127,"moski"
"10156","Ago",2011,24,"moski"
"10157","Agon",2011,5,"moski"
"10158","Agron",2011,98,"moski"
"10159","Ahac",2011,29,"moski"
"10160","Ahmed",2011,60,"moski"
"10161","Ahmedin",2011,10,"moski"
"10162","Ahmet",2011,331,"moski"
"10163","Ahmo",2011,42,"moski"
"10164","Aid",2011,19,"moski"
"10165","Aidan",2011,7,"moski"
"10166","Ajan",2011,10,"moski"
"10167","Ajas",2011,12,"moski"
"10168","Ajdan",2011,6,"moski"
"10169","Ajdin",2011,180,"moski"
"10170","Ajet",2011,33,"moski"
"10171","Ajhan",2011,7,"moski"
"10172","Ajiz",2011,14,"moski"
"10173","Ajman",2011,5,"moski"
"10174","Ajnur",2011,9,"moski"
"10175","Aki",2011,5,"moski"
"10176","Akif",2011,17,"moski"
"10177","Akija",2011,5,"moski"
"10178","Al",2011,14,"moski"
"10179","Aladar",2011,11,"moski"
"10180","Aladin",2011,58,"moski"
"10181","Alaga",2011,57,"moski"
"10182","Alain",2011,36,"moski"
"10183","Alajdin",2011,5,"moski"
"10184","Alan",2011,541,"moski"
"10185","Alban",2011,51,"moski"
"10186","Albert",2011,837,"moski"
"10187","Alberto",2011,23,"moski"
"10188","Albin",2011,1936,"moski"
"10189","Albino",2011,8,"moski"
"10190","Albion",2011,24,"moski"
"10191","Aldijan",2011,8,"moski"
"10192","Aldin",2011,228,"moski"
"10193","Aldo",2011,223,"moski"
"10194","Ale",2011,76,"moski"
"10195","Alec",2011,6,"moski"
"10196","Alej",2011,7,"moski"
"10197","Alejandro",2011,5,"moski"
"10198","Alek",2011,23,"moski"
"10199","Aleks",2011,1008,"moski"
"10200","Aleksa",2011,85,"moski"
"10201","Aleksandar",2011,1209,"moski"
"10202","Aleksander",2011,5540,"moski"
"10203","Aleksander Sasa",2011,13,"moski"
"10204","Aleksander Saso",2011,18,"moski"
"10205","Aleksandr",2011,10,"moski"
"10206","Aleksandro",2011,7,"moski"
"10207","Aleksej",2011,243,"moski"
"10208","Aleksij",2011,30,"moski"
"10209","Aleksije",2011,5,"moski"
"10210","Alem",2011,57,"moski"
"10211","Alen",2011,3688,"moski"
"10212","Alessandro",2011,39,"moski"
"10213","Alessio",2011,6,"moski"
"10214","Ales",2011,10704,"moski"
"10215","Alex",2011,535,"moski"
"10216","Alexandar",2011,6,"moski"
"10217","Alexander",2011,148,"moski"
"10218","Alexandr",2011,6,"moski"
"10219","Alexandru",2011,6,"moski"
"10220","Alexei",2011,13,"moski"
"10221","Alexej",2011,6,"moski"
"10222","Alexey",2011,12,"moski"
"10223","Alfonz",2011,238,"moski"
"10224","Alfred",2011,226,"moski"
"10225","Alfredo",2011,11,"moski"
"10226","Ali",2011,162,"moski"
"10227","Alija",2011,242,"moski"
"10228","Alil",2011,5,"moski"
"10229","Alim",2011,8,"moski"
"10230","Alin",2011,13,"moski"
"10231","Alis",2011,32,"moski"
"10232","Alit",2011,6,"moski"
"10233","Aljan",2011,6,"moski"
"10234","Aljas",2011,9,"moski"
"10235","Aljaz",2011,4460,"moski"
"10236","Alji",2011,6,"moski"
"10237","Aljo",2011,16,"moski"
"10238","Aljos",2011,5,"moski"
"10239","Aljosa",2011,1763,"moski"
"10240","Allen",2011,17,"moski"
"10241","Alli",2011,6,"moski"
"10242","Almaz",2011,13,"moski"
"10243","Almedin",2011,55,"moski"
"10244","Almin",2011,90,"moski"
"10245","Almir",2011,569,"moski"
"10246","Alois",2011,12,"moski"
"10247","Alojz",2011,8696,"moski"
"10248","Alojz Andrej",2011,5,"moski"
"10249","Alojz Franc",2011,5,"moski"
"10250","Alojz Ivan",2011,6,"moski"
"10251","Alojz Slavko",2011,24,"moski"
"10252","Alojz Stanislav",2011,5,"moski"
"10253","Alojzij",2011,3891,"moski"
"10254","Alojzij Anton",2011,6,"moski"
"10255","Alojzij Franc",2011,7,"moski"
"10256","Alojzij Janez",2011,5,"moski"
"10257","Alojzij Slavko",2011,24,"moski"
"10258","Alojzij Stanislav",2011,10,"moski"
"10259","Alojzija",2011,5,"moski"
"10260","Alojzije",2011,26,"moski"
"10261","Altin",2011,23,"moski"
"10262","Alush",2011,9,"moski"
"10263","Alvedin",2011,11,"moski"
"10264","Alvin",2011,14,"moski"
"10265","Alvir",2011,5,"moski"
"10266","Amadej",2011,520,"moski"
"10267","Amadeo",2011,10,"moski"
"10268","Amadeus",2011,6,"moski"
"10269","Amal",2011,6,"moski"
"10270","Amar",2011,153,"moski"
"10271","Ambroz",2011,335,"moski"
"10272","Amel",2011,265,"moski"
"10273","Amer",2011,56,"moski"
"10274","Amet",2011,10,"moski"
"10275","Amil",2011,22,"moski"
"10276","Amin",2011,30,"moski"
"10277","Amir",2011,698,"moski"
"10278","Amit",2011,5,"moski"
"10279","Ammar",2011,46,"moski"
"10280","Amon",2011,10,"moski"
"10281","Amor",2011,5,"moski"
"10282","Amos",2011,5,"moski"
"10283","Amrush",2011,7,"moski"
"10284","An",2011,20,"moski"
"10285","Anadin",2011,6,"moski"
"10286","Anan",2011,12,"moski"
"10287","Anastazij",2011,7,"moski"
"10288","Anatoliy",2011,5,"moski"
"10289","Andi",2011,80,"moski"
"10290","Andjelko",2011,40,"moski"
"10291","Andraz",2011,2710,"moski"
"10292","Andre",2011,15,"moski"
"10293","Andrea",2011,53,"moski"
"10294","Andreas",2011,106,"moski"
"10295","Andrei",2011,6,"moski"
"10296","Andrej",2011,17416,"moski"
"10297","Andrej Ivan",2011,5,"moski"
"10298","Andrej Janez",2011,11,"moski"
"10299","Andrej Martin",2011,7,"moski"
"10300","Andrej Stanislav",2011,5,"moski"
"10301","Andreja",2011,6,"moski"
"10302","Andrejas",2011,15,"moski"
"10303","Andrejcek",2011,15,"moski"
"10304","Andres",2011,6,"moski"
"10305","Andrew",2011,5,"moski"
"10306","Andrey",2011,13,"moski"
"10307","Andrija",2011,235,"moski"
"10308","Andrijan",2011,7,"moski"
"10309","Andriy",2011,18,"moski"
"10310","Andro",2011,40,"moski"
