"","ime","leto","stevilo","spol"
"175","Andrea",2008,40,"moski"
"176","Andreas",2008,109,"moski"
"177","Andrei",2008,6,"moski"
"178","Andrej",2008,17613,"moski"
"179","Andrej Ivan",2008,6,"moski"
"180","Andrej Janez",2008,11,"moski"
"181","Andrej Martin",2008,5,"moski"
"182","Andrej Stanislav",2008,6,"moski"
"183","Andrejas",2008,16,"moski"
"184","Andrejcek",2008,16,"moski"
"185","Andres",2008,7,"moski"
"186","Andrew",2008,6,"moski"
"187","Andrey",2008,8,"moski"
"188","Andrija",2008,252,"moski"
"189","Andrijan",2008,7,"moski"
"190","Andriy",2008,10,"moski"
"191","Andro",2008,50,"moski"
"192","Andy",2008,13,"moski"
"193","Anei",2008,5,"moski"
"194","Anej",2008,933,"moski"
"195","Anel",2008,207,"moski"
"196","Anes",2008,85,"moski"
"197","Angel",2008,190,"moski"
"198","Angelko",2008,5,"moski"
"199","Angelo",2008,34,"moski"
"200","Angjelko",2008,7,"moski"
"201","Anid",2008,6,"moski"
"202","Anis",2008,43,"moski"
"203","Antal",2008,9,"moski"
"204","Ante",2008,244,"moski"
"205","Anto",2008,290,"moski"
"206","Anton",2008,22394,"moski"
"207","Anton Alojz",2008,9,"moski"
"208","Anton Alojzij",2008,7,"moski"
"209","Anton Andrej",2008,10,"moski"
"210","Anton Franc",2008,20,"moski"
"211","Anton Ivan",2008,10,"moski"
"212","Anton Janez",2008,11,"moski"
"213","Anton Joze",2008,5,"moski"
"214","Anton Jozef",2008,16,"moski"
"215","Anton Marijan",2008,11,"moski"
"216","Anton Marjan",2008,13,"moski"
"217","Anton Marko",2008,5,"moski"
"218","Anton Martin",2008,16,"moski"
"219","Anton Mihael",2008,8,"moski"
"220","Anton Milan",2008,5,"moski"
"221","Anton Pavel",2008,7,"moski"
"222","Anton Peter",2008,7,"moski"
"223","Anton Stanislav",2008,8,"moski"
"224","Anton Zvonimir",2008,6,"moski"
"225","Anton Zvonko",2008,28,"moski"
"226","Antonije",2008,7,"moski"
"227","Antonijo",2008,22,"moski"
"228","Antonin",2008,6,"moski"
"229","Antonino",2008,5,"moski"
"230","Antonio",2008,147,"moski"
"231","Antun",2008,508,"moski"
"232","Anze",2008,3858,"moski"
"233","Anzej",2008,80,"moski"
"234","Andelko",2008,81,"moski"
"235","Andelo",2008,22,"moski"
"236","Arafat",2008,5,"moski"
"237","Arben",2008,115,"moski"
"238","Arber",2008,21,"moski"
"239","Arbnor",2008,7,"moski"
"240","Ardi",2008,5,"moski"
"241","Ardian",2008,35,"moski"
"242","Ardijan",2008,10,"moski"
"243","Ardit",2008,20,"moski"
"244","Argjend",2008,6,"moski"
"245","Argjent",2008,5,"moski"
"246","Arian",2008,45,"moski"
"247","Arianit",2008,5,"moski"
"248","Arif",2008,202,"moski"
"249","Arijan",2008,30,"moski"
"250","Aris",2008,10,"moski"
"251","Arjan",2008,18,"moski"
"252","Arjanit",2008,6,"moski"
"253","Arlind",2008,27,"moski"
"254","Arman",2008,10,"moski"
"255","Armand",2008,20,"moski"
"256","Armando",2008,102,"moski"
"257","Armel",2008,7,"moski"
"258","Armen",2008,10,"moski"
"259","Armend",2008,37,"moski"
"260","Arment",2008,5,"moski"
"261","Armin",2008,384,"moski"
"262","Arne",2008,100,"moski"
"263","Arnej",2008,9,"moski"
"264","Arnel",2008,77,"moski"
"265","Arnes",2008,56,"moski"
"266","Arno",2008,7,"moski"
"267","Arnold",2008,17,"moski"
"268","Aron",2008,31,"moski"
"269","Arpad",2008,68,"moski"
"270","Arsen",2008,34,"moski"
"271","Arsenije",2008,6,"moski"
"272","Arsim",2008,61,"moski"
"273","Arslan",2008,9,"moski"
"274","Art",2008,9,"moski"
"275","Artan",2008,23,"moski"
"276","Arthur",2008,6,"moski"
"277","Arton",2008,47,"moski"
"278","Artur",2008,77,"moski"
"279","Asad",2008,6,"moski"
"280","Asan",2008,22,"moski"
"281","Asif",2008,17,"moski"
"282","Asim",2008,367,"moski"
"283","Aslan",2008,10,"moski"
"284","Asllan",2008,20,"moski"
"285","Asmir",2008,271,"moski"
"286","Astrit",2008,26,"moski"
"287","Asim",2008,9,"moski"
"288","Atanas",2008,27,"moski"
"289","Atif",2008,55,"moski"
"290","Atila",2008,18,"moski"
"291","Atilij",2008,8,"moski"
"292","Atilio",2008,7,"moski"
"293","Atnan",2008,6,"moski"
"294","Atso",2008,6,"moski"
"295","Attila",2008,21,"moski"
"296","August",2008,59,"moski"
"297","Augustin",2008,48,"moski"
"298","Augustin",2008,29,"moski"
"299","Aurelio",2008,7,"moski"
"300","Avdi",2008,21,"moski"
"301","Avdija",2008,20,"moski"
"302","Avdo",2008,99,"moski"
"303","Avdul",2008,5,"moski"
"304","Avdulah",2008,24,"moski"
"305","Avdulla",2008,5,"moski"
"306","Avdullah",2008,15,"moski"
"307","Avdyl",2008,25,"moski"
"308","Avgust",2008,1120,"moski"
"309","Avgustin",2008,28,"moski"
"310","Avgustin",2008,713,"moski"
"311","Avni",2008,76,"moski"
"312","Avnija",2008,8,"moski"
"313","Avrelij",2008,15,"moski"
"314","Azem",2008,76,"moski"
"315","Azim",2008,18,"moski"
"316","Azis",2008,5,"moski"
"317","Aziz",2008,100,"moski"
"318","Azmir",2008,13,"moski"
"319","Azrudin",2008,7,"moski"
"320","Azbe",2008,168,"moski"
